wkt_geom;Nombre;Linea
PointZ (-99.16240699999998753 19.42337200000000053 0);Glorieta Insurgentes;Línea 1
PointZ (-99.1787570000000045 19.37429200000000051 0);Felix Cuevas;Línea 1
PointZ (-99.16105699999999956 19.42780499999999932 0);Hamburgo;Línea 1
PointZ (-99.16624500000000353 19.41314300000000159 0);Sonora;Línea 1
PointZ (-99.11333600000001809 19.48407600000000173 0);Delegación Gustavo A. Madero;Línea 6
PointZ (-99.11423200000000122 19.48783799999999999 0);Hospital Infantil La Villa;Línea 6
PointZ (-99.12284200000000567 19.48679699999999926 0);Deportivo 18 de Marzo;Línea 6
PointZ (-99.07801700000000267 19.47842699999999994 0);Deportivo Los Galeana;Línea 6
PointZ (-99.11799800000000005 19.48714599999999919 0);De los Misterios;Línea 6
PointZ (-99.1143950000000018 19.43720799999999826 0);Archivo General;Línea 5
PointZ (-99.1462099999999964 19.4372809999999987 0);Hidalgo. Línea 4;Línea 4
PointZ (-99.08866500000000599 19.47463899999999981 0);Casas Alemán;Línea 6
PointZ (-99.10124199999998496 19.47100299999999962 0);Talismán;Línea 5
PointZ (-99.10275300000000698 19.46747200000000078 0);Victoria;Línea 5
PointZ (-99.15413700000000574 19.43680399999999864 0);Plaza de la República;Línea 4
PointZ (-99.08366399999999885 19.43530700000000166 0);Terminal 1 - Aeropuerto;Línea 4
PointZ (-99.13589500000000498 19.43796499999999838 0);República de Chile;Línea 4
PointZ (-99.13658899999998653 19.42969099999999827 0);Isabel La Católica;Línea 4
PointZ (-99.144172999999995 19.46336900000000014 0);Circuito. Línea 3;Línea 3
PointZ (-99.15062699999998586 19.43310500000000118 0);Expo Reforma;Línea 4
PointZ (-99.15572400000002062 19.49952499999999844 0);Poniente 146;Línea 3
PointZ (-99.13278200000000595 19.42666099999999929 0);Pino Suárez;Línea 4
PointZ (-99.15382400000000018 19.42482899999999901 0);Cuauhtémoc;Línea 3
PointZ (-99.125945999999999 19.42544699999999835 0);La Merced;Línea 4
PointZ (-99.12432900000000302 19.4863660000000003 0);Deportivo 18 de Marzo;Línea 1
PointZ (-99.05601500000000215 19.39645600000000059 0);Canal de San Juan;Línea 2
PointZ (-99.15464799999999457 19.41433899999999824 0);Hospital General;Línea 3
PointZ (-99.15567000000000064 19.40102999999999867 0);Obrero Mundial;Línea 3
PointZ (-99.15485400000000027 19.41137099999999904 0);Dr. Márquez;Línea 3
PointZ (-99.1837459999999993 19.40765999999999991 0);De La Salle;Línea 2
PointZ (-99.14403500000001657 19.46244400000000141 0);Circuito;Línea 1
PointZ (-99.16814399999999807 19.40144300000000044 0);Viaducto;Línea 2
PointZ (-99.08746299999999962 19.39187199999999933 0);El Rodeo;Línea 2
PointZ (-99.13999200000000656 19.3942389999999989 0);Xola;Línea 2
PointZ (-99.17446100000000797 19.28838000000000008 0);Fuentes Brotantes;Línea 1
PointZ (-99.17009699999999839 19.28035900000000069 0);La Joya;Línea 1
PointZ (-99.15601300000000151 19.39645600000000059 0);Terminal Etiopía-Plaza de la Transparencia;Línea 3
PointZ (-99.05175800000000663 19.38493000000000066 0);General Antonio de León;Línea 2
PointZ (-99.15245099999998502 19.44213699999999889 0);Delegación Cuauhtémoc;Línea 4
PointZ (-99.14941399999999305 19.48272499999999852 0);Magdalena La Salinas;Línea 3
PointZ (-99.15212200000000564 19.4461359999999992 0);Buenavista - Línea 3;Línea 3
PointZ (-99.16352100000000291 19.51908299999999841 0);Progreso Nacional;Línea 3
PointZ (-99.16181900000000837 19.51513500000000079 0);Tres Anegas;Línea 3
